Episode,Reward,Steps,Exploration Rate
656,242.0,177745,0.9565365720376943
657,593.0,177846,0.9565124197911512
658,787.0,178127,0.9564452271454219
659,1271.0,178574,0.9563383503497661
660,613.0,178660,0.9563177892936928
661,1295.0,178968,0.956244155649634
662,1284.0,179407,0.9561392135992194
663,624.0,180207,0.9559480048540838
664,249.0,180241,0.9559398793295593
665,1213.0,180943,0.9557721265804787
666,639.0,181083,0.955738675137266
667,610.0,181146,0.9557236223697898
668,267.0,183151,0.9552446858876261
669,636.0,183698,0.9551140650918859
670,248.0,183733,0.9551057078793335
671,621.0,183839,0.955080397910266
672,629.0,183930,0.9550586700756497
673,613.0,184003,0.9550412404117858
674,610.0,184085,0.9550216622645842
675,792.0,184344,0.9549598266061656
676,595.0,185586,0.9546633575721035
677,617.0,185691,0.95463829798474
678,588.0,185845,0.9546015451131655
679,252.0,185875,0.9545943856275293
680,244.0,185913,0.9545853170228069
681,639.0,186055,0.954551429841313
682,1011.0,186479,0.9544502527395691
683,990.0,186887,0.9543529037664896
684,930.0,187709,0.9541568043701291
685,891.0,188607,0.9539426201838201
686,242.0,188643,0.9539340347377989
687,675.0,189179,0.9538062161251875
688,616.0,189266,0.9537854710629942
689,979.0,189724,0.9536762688648375
690,241.0,189757,0.9536684010670895
691,244.0,189794,0.9536595796740748
692,627.0,189899,0.9536345464355385
693,608.0,190008,0.9536085602449597
694,610.0,190115,0.9535830515539612
695,872.0,191121,0.9533432555420996
696,1234.0,191734,0.9531971668642373
697,612.0,192011,0.9531311602376781
698,980.0,192459,0.9530244155121896
699,620.0,192554,0.9530017814482685
700,228.0,192593,0.952992489725034
701,242.0,192631,0.9529834363382523
702,613.0,192729,0.9529600885271522
703,588.0,192895,0.9529205414991357
704,248.0,192927,0.9529129181643431
705,599.0,193107,0.9528700380424697
706,244.0,193138,0.9528626533273665
707,237.0,193180,0.9528526483207809
708,245.0,193213,0.9528447873178753
709,238.0,193247,0.952836688170591
710,812.0,193405,0.9527990518600205
711,617.0,193508,0.9527745175972449
712,705.0,194199,0.9526099399945338
713,228.0,194240,0.9526001757914686
714,804.0,194440,0.9525525469674496
715,245.0,194471,0.9525451647128931
716,619.0,194635,0.952506111156856
717,638.0,194781,0.9524713453139287
718,616.0,194865,0.9524513436231925
719,249.0,194896,0.9524439621529589
720,243.0,194929,0.9524361045217006
721,244.0,194960,0.9524287231695696
722,793.0,195214,0.9523682458582553
723,247.0,195244,0.9523611031223028
724,580.0,195368,0.9523315803820166
725,743.0,195527,0.952293725949321
726,747.0,195693,0.9522542065747815
727,902.0,196551,0.9520499699270791
728,234.0,196588,0.952041163504485
729,1280.0,196991,0.9519452501769746
730,221.0,197032,0.9519354927869461
731,250.0,197064,0.9519278773325126
732,646.0,197830,0.9517456005747498
733,711.0,198494,0.9515876238977126
734,686.0,199280,0.9514006552764874
735,239.0,199314,0.9513925684042748
736,968.0,199956,0.9512398821313401
737,1254.0,200469,0.9511178934238843
738,622.0,200573,0.9510931646770359
739,637.0,200724,0.9510572615832514
740,614.0,200837,0.9510303945917475
741,1248.0,201349,0.9509086704765164
742,877.0,202330,0.9506754886909871
743,230.0,202369,0.950666219648999
744,234.0,202407,0.9506571883616809
745,624.0,202493,0.9506367494492926
746,1400.0,202826,0.9505576122241299
747,810.0,202991,0.9505184025264246
748,238.0,203028,0.9505096102707651
749,602.0,203129,0.9504856102031046
750,249.0,203163,0.9504775311087431
751,241.0,203200,0.9504687392311427
752,623.0,203293,0.9504466410870822
753,1309.0,203569,0.9503810625231273
754,624.0,203785,0.9503297433249579
755,602.0,204713,0.9501092923702187
756,631.0,204798,0.9500891027597445
757,233.0,204836,0.9500800769550114
758,950.0,205435,0.9499378130979564
759,1096.0,206724,0.9496317449172684
760,230.0,206766,0.9496217738350473
761,637.0,206919,0.9495854514923221
762,244.0,206953,0.9495773800492782
763,246.0,206990,0.9495685964980374
764,249.0,207022,0.9495609999787009
765,610.0,207115,0.9495389229393353
766,770.0,207480,0.9494522814548522
767,228.0,207521,0.9494425496176253
768,1235.0,208228,0.9492747504556699
769,241.0,208263,0.9492664443369032
770,1028.0,208579,0.9491914552405247
771,639.0,208721,0.9491577595377492
772,1270.0,209179,0.9490490871822942
